handle,platform,followers,average_likes,average_comments,average_views,gcc_audience_pct,saudi_audience_pct,uae_audience_pct,female_audience_pct,beauty_content_pct,fashion_content_pct,luxury_content_pct,lifestyle_content_pct,sponsored_content_pct,content_consistency_score,comment_quality_score,success,is_synthetic
@synthetic_creator_0000,tiktok,386799,12750,127,107587,15.1,7.5,4.8,88.7,1.6,44.2,12.0,10.2,35.5,0.607,0.61,0,True
@synthetic_creator_0001,instagram,77035,2401,30,14613,55.4,30.5,15.2,71.5,23.6,49.5,16.3,22.3,43.2,0.76,0.472,0,True
@synthetic_creator_0002,youtube,660360,39138,1104,34585,35.5,15.1,8.5,47.3,30.8,27.9,24.2,5.7,1.9,0.609,0.433,1,True
@synthetic_creator_0003,instagram,829582,20286,899,318920,6.1,2.2,0.9,57.9,26.0,20.5,24.0,14.5,33.4,0.677,0.812,0,True
@synthetic_creator_0004,tiktok,25816,932,25,9137,98.4,46.7,10.6,88.3,0.0,48.2,15.8,11.2,10.6,0.524,0.548,1,True
@synthetic_creator_0005,instagram,56240,2249,29,8536,41.6,28.2,9.3,75.7,53.0,10.3,7.0,23.2,2.5,0.649,0.417,0,True
@synthetic_creator_0006,instagram,312827,714,18,124885,14.1,5.5,3.4,51.2,73.1,25.8,0.0,23.5,3.9,0.528,0.329,0,True
@synthetic_creator_0007,instagram,183598,13337,296,29558,77.5,44.2,9.4,61.0,55.6,31.9,12.1,0.0,35.7,0.859,0.464,1,True
@synthetic_creator_0008,youtube,262981,4310,44,55382,36.8,11.8,12.8,61.5,51.7,12.1,20.9,25.5,15.5,0.763,0.522,0,True
@synthetic_creator_0009,snapchat,96408,7157,262,33544,82.3,48.3,25.5,56.9,34.5,15.5,13.5,8.9,1.6,0.707,0.585,1,True
@synthetic_creator_0010,instagram,770871,53269,843,120725,36.7,14.5,4.5,39.3,13.1,14.3,0.0,17.4,12.1,0.734,0.826,0,True
@synthetic_creator_0011,instagram,682385,15083,367,141723,41.5,19.9,5.0,54.8,31.5,46.3,18.7,5.6,21.0,0.783,0.337,0,True
@synthetic_creator_0012,instagram,290464,2591,108,82188,63.6,28.4,15.8,85.8,72.1,53.7,19.3,18.7,10.0,0.872,0.94,1,True
@synthetic_creator_0013,tiktok,1037878,8029,371,99287,69.8,24.1,27.7,59.3,23.0,26.7,7.0,40.5,5.0,0.947,0.649,1,True
@synthetic_creator_0014,instagram,470245,16863,390,93025,74.2,32.5,20.2,63.5,20.9,21.0,19.9,16.3,37.7,0.546,0.833,1,True
@synthetic_creator_0015,tiktok,95688,2712,71,15146,52.8,23.2,21.8,67.1,52.1,16.0,16.3,10.4,59.6,0.793,0.683,0,True
@synthetic_creator_0016,instagram,417692,4303,96,119823,68.2,34.7,7.6,98.3,53.5,25.0,3.1,12.7,10.3,0.721,0.865,1,True
@synthetic_creator_0017,instagram,84909,2010,116,8286,73.6,50.7,9.3,65.1,13.0,16.7,22.7,0.3,11.9,0.48,0.803,1,True
@synthetic_creator_0018,youtube,769995,7753,151,101220,60.0,29.3,12.6,81.4,24.8,23.5,0.0,29.5,3.7,0.883,0.592,1,True
@synthetic_creator_0019,tiktok,252733,4373,83,75562,51.4,34.2,6.9,56.0,20.0,31.2,9.4,18.1,21.9,0.863,0.646,0,True
@synthetic_creator_0020,instagram,214950,10612,342,22500,18.9,9.1,4.8,61.1,31.4,18.9,8.4,4.5,13.7,0.605,0.923,0,True
@synthetic_creator_0021,instagram,118525,985,19,23433,70.0,24.0,31.0,65.2,52.1,22.2,1.7,4.8,2.1,0.488,0.7,1,True
@synthetic_creator_0022,instagram,1163623,21317,380,348514,56.1,22.0,13.3,53.4,13.9,22.2,13.0,15.2,12.3,0.353,0.686,0,True
@synthetic_creator_0023,instagram,222919,5965,88,70869,44.7,20.7,15.5,61.9,51.8,20.2,23.1,24.3,6.0,0.764,0.677,0,True
@synthetic_creator_0024,instagram,160493,12456,523,13354,86.9,37.4,14.3,78.3,32.0,18.4,22.5,3.5,5.1,0.915,0.432,1,True
@synthetic_creator_0025,tiktok,175859,6970,283,61233,19.3,12.5,3.7,53.0,76.5,36.4,17.2,26.1,12.0,0.66,0.534,0,True
@synthetic_creator_0026,instagram,508271,8512,361,154204,96.1,54.9,17.5,65.0,36.4,0.0,0.0,14.1,3.1,0.705,0.944,1,True
@synthetic_creator_0027,instagram,416038,13090,637,70207,54.4,28.9,13.4,75.6,28.1,48.6,0.0,5.7,30.9,0.693,0.534,0,True
@synthetic_creator_0028,instagram,440329,15827,416,139730,62.9,31.2,8.4,52.6,41.5,27.0,11.7,10.3,3.9,0.945,0.756,1,True
@synthetic_creator_0029,instagram,449992,7119,398,137204,45.1,20.7,18.9,81.4,23.3,34.2,9.7,32.5,22.2,0.83,0.943,0,True
@synthetic_creator_0030,instagram,3505967,89642,4182,912645,13.3,7.3,4.5,66.1,0.0,35.9,5.0,1.1,1.4,0.759,0.468,0,True
@synthetic_creator_0031,youtube,164769,7142,358,40445,51.5,18.0,23.3,62.5,25.2,14.4,29.1,7.7,20.9,0.55,0.817,0,True
@synthetic_creator_0032,instagram,145118,2663,122,44572,63.4,23.1,29.6,34.9,24.9,11.3,11.1,24.5,8.3,0.84,0.712,0,True
@synthetic_creator_0033,tiktok,101060,7322,204,40397,71.9,30.3,12.0,59.4,0.0,9.5,15.4,17.2,3.2,0.817,0.633,1,True
@synthetic_creator_0034,instagram,561954,22689,547,141889,50.0,18.4,15.9,70.6,28.5,21.3,19.9,7.1,49.6,0.92,0.613,0,True
@synthetic_creator_0035,instagram,1040036,16303,507,346385,0.2,0.1,0.0,91.2,0.0,35.5,10.5,24.6,7.3,0.865,0.499,0,True
@synthetic_creator_0036,instagram,234043,3905,57,72669,16.5,5.1,8.3,73.5,23.0,16.2,35.9,25.1,6.1,0.387,0.458,0,True
@synthetic_creator_0037,tiktok,97910,6020,196,34222,100.0,36.4,19.9,81.9,34.9,34.1,0.6,18.3,18.6,0.875,0.49,1,True
@synthetic_creator_0038,instagram,99769,2993,36,38319,27.7,18.3,3.1,46.9,31.9,0.0,3.9,8.9,14.8,0.851,0.451,0,True
@synthetic_creator_0039,tiktok,585786,5134,52,68876,90.7,63.4,16.7,63.1,21.8,19.2,0.6,10.4,13.6,0.112,0.652,1,True
@synthetic_creator_0040,instagram,654682,5176,292,70647,31.6,15.7,4.0,83.3,28.3,42.5,25.6,17.8,31.1,0.804,0.307,0,True
@synthetic_creator_0041,tiktok,514929,61651,2741,131421,50.4,25.1,16.2,51.7,14.3,22.4,18.0,1.9,16.6,0.592,0.68,1,True
@synthetic_creator_0042,instagram,120739,715,27,25023,70.6,43.0,10.0,79.5,30.2,12.6,4.6,28.3,7.9,0.813,0.805,1,True
@synthetic_creator_0043,instagram,354546,1988,53,88548,34.5,10.8,14.1,76.0,31.2,15.1,1.4,32.0,12.2,0.517,0.673,0,True
@synthetic_creator_0044,tiktok,308668,11608,447,101648,94.8,44.6,36.3,69.1,12.0,0.0,23.8,12.6,3.0,0.473,0.482,1,True
@synthetic_creator_0045,instagram,348860,22450,1225,131206,56.9,19.3,21.2,60.1,35.4,9.8,13.6,18.6,17.8,0.925,0.972,1,True
@synthetic_creator_0046,instagram,763535,35850,1527,149725,66.5,30.6,11.8,50.2,35.2,40.9,24.1,26.9,10.1,0.899,0.86,1,True
@synthetic_creator_0047,tiktok,350920,18943,760,105723,48.3,33.5,3.4,91.6,26.7,16.3,9.4,34.6,7.2,0.69,0.511,0,True
@synthetic_creator_0048,tiktok,606036,77195,2548,72045,71.5,43.0,6.5,74.5,78.4,18.0,15.1,30.6,20.6,0.68,0.594,0,True
@synthetic_creator_0049,tiktok,291004,3368,91,68995,94.5,65.6,7.3,70.1,27.2,0.0,13.0,0.0,47.4,0.683,0.375,1,True
@synthetic_creator_0050,instagram,379626,11685,524,21878,51.7,30.9,11.4,58.8,24.4,0.5,3.8,11.8,17.7,0.761,0.845,1,True
@synthetic_creator_0051,instagram,572372,9105,537,129535,98.2,53.4,18.3,65.6,21.6,42.9,8.6,20.0,5.2,0.907,0.92,1,True
@synthetic_creator_0052,instagram,46695,1187,37,11247,39.7,23.9,5.5,67.5,10.6,34.3,0.0,10.1,7.6,0.521,0.786,1,True
@synthetic_creator_0053,instagram,182845,2576,76,56207,74.1,41.8,10.7,71.0,43.7,5.5,14.9,32.8,29.6,0.893,0.671,0,True
@synthetic_creator_0054,instagram,152596,7945,249,42317,67.2,32.6,26.6,76.0,16.3,15.5,17.6,31.3,5.8,0.778,0.364,0,True
@synthetic_creator_0055,instagram,124660,5570,174,21870,28.3,11.8,4.5,53.3,18.6,24.6,19.9,6.8,15.0,0.676,0.896,0,True
@synthetic_creator_0056,instagram,192881,2963,176,10030,60.3,30.7,11.4,43.0,19.2,7.1,16.7,13.4,8.5,0.821,0.788,1,True
@synthetic_creator_0057,instagram,1613521,16595,752,145894,55.2,22.3,15.9,66.3,10.3,0.0,8.7,7.5,1.7,0.728,0.659,1,True
@synthetic_creator_0058,instagram,94940,1168,32,37080,33.7,16.7,3.4,38.8,0.0,22.6,25.5,13.0,8.7,0.675,0.316,0,True
@synthetic_creator_0059,instagram,857635,82802,2366,319740,64.0,22.9,30.9,60.1,20.7,33.6,18.9,12.7,4.6,0.821,0.332,1,True
@synthetic_creator_0060,instagram,35616,753,23,5833,58.7,30.9,7.2,57.4,47.5,33.9,23.9,24.5,9.1,0.7,0.89,1,True
@synthetic_creator_0061,instagram,179537,1214,14,25242,53.2,21.2,19.5,72.4,33.9,38.1,24.5,6.1,22.8,0.787,0.749,1,True
@synthetic_creator_0062,tiktok,326212,24820,903,66138,53.3,22.2,17.9,94.7,61.2,1.7,8.7,0.0,11.5,0.753,0.621,0,True
@synthetic_creator_0063,instagram,542241,8451,427,158051,52.7,26.4,18.1,35.8,45.0,25.9,13.9,0.0,5.8,0.855,0.655,0,True
@synthetic_creator_0064,instagram,629997,14640,629,110179,45.8,16.7,17.2,99.1,40.5,21.0,17.7,4.7,0.6,0.668,0.626,1,True
@synthetic_creator_0065,youtube,695242,13176,262,51137,58.5,40.1,12.2,61.5,67.7,23.7,0.0,8.4,20.9,0.99,0.578,1,True
@synthetic_creator_0066,instagram,176580,9563,443,33722,38.9,18.6,9.2,70.2,28.1,21.8,0.0,16.9,28.1,0.608,0.418,1,True
@synthetic_creator_0067,instagram,154072,9514,437,21755,100.0,44.1,27.6,43.8,31.3,15.1,0.0,4.2,1.4,0.778,0.677,0,True
@synthetic_creator_0068,tiktok,751308,20266,468,123008,19.8,6.2,8.4,80.0,29.8,0.0,8.9,2.9,17.2,0.894,0.762,0,True
